model,src,tgt,top1,mrr
sentence-transformers/LaBSE,asante,dutch,0.096,0.15534621960355122
sentence-transformers/LaBSE,asante,english,0.101,0.17692573819799504
sentence-transformers/LaBSE,asante,french,0.083,0.13410296493697468
sentence-transformers/LaBSE,asante,german,0.085,0.14190694414885535
sentence-transformers/LaBSE,asante,gujarati,0.058,0.11511369102550956
sentence-transformers/LaBSE,asante,hausa,0.066,0.12541738120645138
sentence-transformers/LaBSE,asante,indonesian,0.09,0.15256009701496362
sentence-transformers/LaBSE,asante,japanese,0.084,0.14559980460449812
sentence-transformers/LaBSE,asante,kannada,0.085,0.14493609762905835
sentence-transformers/LaBSE,asante,khmer,0.067,0.1218113910614038
sentence-transformers/LaBSE,asante,kurdish,0.037,0.06939233423892834
sentence-transformers/LaBSE,asante,kyrgyz,0.098,0.16208320775199878
sentence-transformers/LaBSE,asante,lingala,0.05,0.09976931866708628
sentence-transformers/LaBSE,asante,lithuanian,0.081,0.14672159655862305
sentence-transformers/LaBSE,asante,macedonian,0.079,0.13690222116508863
sentence-transformers/LaBSE,asante,malayalam,0.087,0.14010938990319766
sentence-transformers/LaBSE,asante,moore,0.076,0.1317238570066539
sentence-transformers/LaBSE,asante,oromo,0.084,0.1434662765335349
sentence-transformers/LaBSE,asante,pashto,0.068,0.12093694837183998
sentence-transformers/LaBSE,asante,persian,0.098,0.1653311226924449
sentence-transformers/LaBSE,asante,portuguese,0.103,0.1626234130093744
sentence-transformers/LaBSE,asante,romanian,0.108,0.17238842203076912
sentence-transformers/LaBSE,asante,serbian,0.099,0.1663433873354329
sentence-transformers/LaBSE,asante,spanish,0.082,0.14504072168392407
sentence-transformers/LaBSE,asante,tagalog,0.111,0.1739449974402849
sentence-transformers/LaBSE,asante,tajik,0.104,0.16689421751680697
sentence-transformers/LaBSE,asante,tamil,0.081,0.13653894845246528
sentence-transformers/LaBSE,asante,turkish,0.083,0.13956432185497547
sentence-transformers/LaBSE,asante,urdu,0.076,0.12802371230733803
sentence-transformers/LaBSE,asante,uyghur,0.077,0.13470522779604932
sentence-transformers/LaBSE,asante,uzbek,0.092,0.146288327845008
sentence-transformers/LaBSE,asante,vietnamese,0.098,0.160765045736358
sentence-transformers/LaBSE,asante,yoruba,0.071,0.1351842252304041
sentence-transformers/LaBSE,assamese,albanian,0.919,0.9442975487653257
sentence-transformers/LaBSE,assamese,asante,0.085,0.14667806004886916
sentence-transformers/LaBSE,assamese,azeri,0.914,0.9385594096517648
sentence-transformers/LaBSE,assamese,bosnian-mihanovich,0.926,0.9498465169689915
sentence-transformers/LaBSE,assamese,bosnian-rwwad,0.919,0.9440280420423209
sentence-transformers/LaBSE,assamese,chinese,0.901,0.9311310605080275
sentence-transformers/LaBSE,assamese,croatian,0.923,0.9463185281572871
sentence-transformers/LaBSE,assamese,dutch,0.924,0.9499112205564267
sentence-transformers/LaBSE,assamese,english,0.925,0.9518793419779611
sentence-transformers/LaBSE,assamese,french,0.848,0.8904102362128611
sentence-transformers/LaBSE,assamese,german,0.924,0.9477665147748242
sentence-transformers/LaBSE,assamese,gujarati,0.93,0.9532213666394046
sentence-transformers/LaBSE,assamese,hausa,0.8,0.8520448612024968
sentence-transformers/LaBSE,assamese,indonesian,0.934,0.9572365578403078
sentence-transformers/LaBSE,assamese,japanese,0.898,0.9293011272274855
sentence-transformers/LaBSE,assamese,kannada,0.939,0.960475359022978
sentence-transformers/LaBSE,assamese,khmer,0.909,0.9347056219312706
sentence-transformers/LaBSE,assamese,kurdish,0.078,0.1383796922428093
sentence-transformers/LaBSE,assamese,kyrgyz,0.854,0.8956545510122159
sentence-transformers/LaBSE,assamese,lingala,0.154,0.23075349149586252
sentence-transformers/LaBSE,assamese,lithuanian,0.908,0.9348315984668626
sentence-transformers/LaBSE,assamese,macedonian,0.899,0.9326319152309747
sentence-transformers/LaBSE,assamese,malayalam,0.93,0.9551303260100874
sentence-transformers/LaBSE,assamese,moore,0.061,0.11759137168310205
sentence-transformers/LaBSE,assamese,oromo,0.12,0.1885683920127733
sentence-transformers/LaBSE,assamese,pashto,0.859,0.8980252125063797
sentence-transformers/LaBSE,assamese,persian,0.93,0.9522256648303873
sentence-transformers/LaBSE,assamese,portuguese,0.921,0.9489182453596606
sentence-transformers/LaBSE,assamese,romanian,0.923,0.9444429724575267
sentence-transformers/LaBSE,assamese,serbian,0.919,0.9442379210653035
sentence-transformers/LaBSE,assamese,spanish,0.888,0.9253603173785887
sentence-transformers/LaBSE,assamese,tagalog,0.893,0.9213542702999102
sentence-transformers/LaBSE,assamese,tajik,0.871,0.9037515417699126
sentence-transformers/LaBSE,assamese,tamil,0.926,0.9497478751718358
sentence-transformers/LaBSE,assamese,turkish,0.919,0.945656581003207
sentence-transformers/LaBSE,assamese,urdu,0.923,0.9497286043449866
sentence-transformers/LaBSE,assamese,uyghur,0.839,0.8821741550396307
sentence-transformers/LaBSE,assamese,uzbek,0.858,0.8944437509961929
sentence-transformers/LaBSE,assamese,vietnamese,0.881,0.9188310091394558
sentence-transformers/LaBSE,assamese,yoruba,0.549,0.6482439259163727
sentence-transformers/LaBSE,azeri,albanian,0.935,0.9570254984256448
sentence-transformers/LaBSE,azeri,asante,0.108,0.16651248300111918
sentence-transformers/LaBSE,azeri,assamese,0.886,0.9144208498877411
sentence-transformers/LaBSE,azeri,bosnian-mihanovich,0.937,0.9561658460721913
sentence-transformers/LaBSE,azeri,bosnian-rwwad,0.934,0.953700667905737
sentence-transformers/LaBSE,azeri,chinese,0.901,0.9298329548037104
sentence-transformers/LaBSE,azeri,croatian,0.936,0.9541578224439268
sentence-transformers/LaBSE,azeri,dutch,0.951,0.9686714622425818
sentence-transformers/LaBSE,azeri,english,0.941,0.9632376724858123
sentence-transformers/LaBSE,azeri,french,0.874,0.9069475770380643
sentence-transformers/LaBSE,azeri,german,0.936,0.9552939706536345
sentence-transformers/LaBSE,azeri,gujarati,0.913,0.939277677451032
sentence-transformers/LaBSE,azeri,hausa,0.778,0.8311849103230077
sentence-transformers/LaBSE,azeri,indonesian,0.952,0.9680534147264357
sentence-transformers/LaBSE,azeri,japanese,0.92,0.9449521844854032
sentence-transformers/LaBSE,azeri,kannada,0.942,0.9615304999165782
sentence-transformers/LaBSE,azeri,khmer,0.919,0.9417343604173584
sentence-transformers/LaBSE,azeri,kurdish,0.071,0.12877299811400242
sentence-transformers/LaBSE,azeri,kyrgyz,0.92,0.9459903144613283
sentence-transformers/LaBSE,azeri,lingala,0.143,0.20352668836173826
sentence-transformers/LaBSE,azeri,lithuanian,0.919,0.9421230309766843
sentence-transformers/LaBSE,azeri,macedonian,0.924,0.9453106876257761
sentence-transformers/LaBSE,azeri,malayalam,0.941,0.9599249737635198
sentence-transformers/LaBSE,azeri,moore,0.051,0.10350557586044293
sentence-transformers/LaBSE,azeri,oromo,0.105,0.17277540848309722
sentence-transformers/LaBSE,azeri,pashto,0.824,0.8604034390766421
sentence-transformers/LaBSE,azeri,persian,0.949,0.967452524639371
sentence-transformers/LaBSE,azeri,portuguese,0.926,0.9514562148763399
sentence-transformers/LaBSE,azeri,romanian,0.928,0.9520381800538597
sentence-transformers/LaBSE,azeri,serbian,0.935,0.955266369267172
sentence-transformers/LaBSE,azeri,spanish,0.915,0.9427844287857101
sentence-transformers/LaBSE,azeri,tagalog,0.902,0.9329519347106441
sentence-transformers/LaBSE,azeri,tajik,0.884,0.9156488522337448
sentence-transformers/LaBSE,azeri,tamil,0.939,0.9590157629077867
sentence-transformers/LaBSE,azeri,turkish,0.956,0.9720636656950888
sentence-transformers/LaBSE,azeri,urdu,0.922,0.9465398779639743
sentence-transformers/LaBSE,azeri,uyghur,0.9,0.9257578099593867
sentence-transformers/LaBSE,azeri,uzbek,0.887,0.9164618353864135
sentence-transformers/LaBSE,azeri,vietnamese,0.915,0.9404352039081925
sentence-transformers/LaBSE,azeri,yoruba,0.557,0.6479423417189389
sentence-transformers/LaBSE,bosnian-mihanovich,albanian,0.956,0.971888808444812
sentence-transformers/LaBSE,bosnian-mihanovich,asante,0.092,0.14806175941523517
sentence-transformers/LaBSE,bosnian-mihanovich,assamese,0.914,0.9438214512633852
sentence-transformers/LaBSE,bosnian-mihanovich,azeri,0.948,0.9637897538734695
sentence-transformers/LaBSE,bosnian-mihanovich,bosnian-rwwad,0.989,0.9925166666666666
sentence-transformers/LaBSE,bosnian-mihanovich,chinese,0.92,0.9442087453132504
sentence-transformers/LaBSE,bosnian-mihanovich,croatian,0.99,0.9932277777777778
sentence-transformers/LaBSE,bosnian-mihanovich,dutch,0.953,0.9699662943687137
sentence-transformers/LaBSE,bosnian-mihanovich,english,0.958,0.972896858871859
sentence-transformers/LaBSE,bosnian-mihanovich,french,0.9,0.9294672059125405
sentence-transformers/LaBSE,bosnian-mihanovich,german,0.957,0.9717070843471848
sentence-transformers/LaBSE,bosnian-mihanovich,gujarati,0.921,0.9423426936526371
sentence-transformers/LaBSE,bosnian-mihanovich,hausa,0.813,0.8586919407314267
sentence-transformers/LaBSE,bosnian-mihanovich,indonesian,0.958,0.9715635243841128
sentence-transformers/LaBSE,bosnian-mihanovich,japanese,0.925,0.9466912063300856
sentence-transformers/LaBSE,bosnian-mihanovich,kannada,0.935,0.9564273453613482
sentence-transformers/LaBSE,bosnian-mihanovich,khmer,0.918,0.940940229776369
sentence-transformers/LaBSE,bosnian-mihanovich,kurdish,0.073,0.12852523110390707
sentence-transformers/LaBSE,bosnian-mihanovich,kyrgyz,0.902,0.9320700481032925
sentence-transformers/LaBSE,bosnian-mihanovich,lingala,0.124,0.19685809038759192
sentence-transformers/LaBSE,bosnian-mihanovich,lithuanian,0.935,0.9529991416361281
sentence-transformers/LaBSE,bosnian-mihanovich,macedonian,0.979,0.9860387692307693
sentence-transformers/LaBSE,bosnian-mihanovich,malayalam,0.933,0.954462454091092
sentence-transformers/LaBSE,bosnian-mihanovich,moore,0.067,0.11677547621629424
sentence-transformers/LaBSE,bosnian-mihanovich,oromo,0.079,0.14355503418029594
sentence-transformers/LaBSE,bosnian-mihanovich,pashto,0.841,0.8779167447876524
sentence-transformers/LaBSE,bosnian-mihanovich,persian,0.934,0.9545730823087731
sentence-transformers/LaBSE,bosnian-mihanovich,portuguese,0.949,0.9633941404879319
sentence-transformers/LaBSE,bosnian-mihanovich,romanian,0.951,0.96542489201303
sentence-transformers/LaBSE,bosnian-mihanovich,serbian,0.988,0.9922
sentence-transformers/LaBSE,bosnian-mihanovich,spanish,0.923,0.9492733793588033
sentence-transformers/LaBSE,bosnian-mihanovich,tagalog,0.922,0.9462202959582601
sentence-transformers/LaBSE,bosnian-mihanovich,tajik,0.873,0.9079113344770033
sentence-transformers/LaBSE,bosnian-mihanovich,tamil,0.934,0.9550654174242776
sentence-transformers/LaBSE,bosnian-mihanovich,turkish,0.934,0.9553544915950608
sentence-transformers/LaBSE,bosnian-mihanovich,urdu,0.936,0.9571217932718868
sentence-transformers/LaBSE,bosnian-mihanovich,uyghur,0.866,0.9022838659637157
sentence-transformers/LaBSE,bosnian-mihanovich,uzbek,0.885,0.9167431252333665
sentence-transformers/LaBSE,bosnian-mihanovich,vietnamese,0.927,0.9509402408761582
sentence-transformers/LaBSE,bosnian-mihanovich,yoruba,0.565,0.6616715588235429
sentence-transformers/LaBSE,bosnian-rwwad,albanian,0.957,0.9719515067993009
sentence-transformers/LaBSE,bosnian-rwwad,asante,0.089,0.14470609610928348
sentence-transformers/LaBSE,bosnian-rwwad,assamese,0.906,0.9374654483986082
sentence-transformers/LaBSE,bosnian-rwwad,azeri,0.945,0.9617200482914354
sentence-transformers/LaBSE,bosnian-rwwad,bosnian-mihanovich,0.99,0.9935333333333333
sentence-transformers/LaBSE,bosnian-rwwad,chinese,0.912,0.9389315840662038
sentence-transformers/LaBSE,bosnian-rwwad,croatian,0.994,0.99595
sentence-transformers/LaBSE,bosnian-rwwad,dutch,0.946,0.9649945518649853
sentence-transformers/LaBSE,bosnian-rwwad,english,0.963,0.9763242183742183
sentence-transformers/LaBSE,bosnian-rwwad,french,0.91,0.937544913602414
sentence-transformers/LaBSE,bosnian-rwwad,german,0.952,0.966882710832243
sentence-transformers/LaBSE,bosnian-rwwad,gujarati,0.913,0.9370516447736148
sentence-transformers/LaBSE,bosnian-rwwad,hausa,0.8,0.8475494824553802
sentence-transformers/LaBSE,bosnian-rwwad,indonesian,0.951,0.9683251444270338
sentence-transformers/LaBSE,bosnian-rwwad,japanese,0.914,0.9395928526101727
sentence-transformers/LaBSE,bosnian-rwwad,kannada,0.932,0.9533478837422917
sentence-transformers/LaBSE,bosnian-rwwad,khmer,0.915,0.9379471462329222
sentence-transformers/LaBSE,bosnian-rwwad,kurdish,0.074,0.12627924253109357
sentence-transformers/LaBSE,bosnian-rwwad,kyrgyz,0.899,0.9314756653828478
sentence-transformers/LaBSE,bosnian-rwwad,lingala,0.122,0.19542253795391384
sentence-transformers/LaBSE,bosnian-rwwad,lithuanian,0.929,0.9500485549397595
sentence-transformers/LaBSE,bosnian-rwwad,macedonian,0.981,0.9876838556505222
sentence-transformers/LaBSE,bosnian-rwwad,malayalam,0.927,0.9480891646057744
sentence-transformers/LaBSE,bosnian-rwwad,moore,0.067,0.1148256564213083
sentence-transformers/LaBSE,bosnian-rwwad,oromo,0.074,0.13841971866253083
sentence-transformers/LaBSE,bosnian-rwwad,pashto,0.825,0.8663571666265432
sentence-transformers/LaBSE,bosnian-rwwad,persian,0.932,0.9540820672031632
sentence-transformers/LaBSE,bosnian-rwwad,portuguese,0.943,0.9590883003041446
sentence-transformers/LaBSE,bosnian-rwwad,romanian,0.95,0.9659808652135323
sentence-transformers/LaBSE,bosnian-rwwad,serbian,0.989,0.9937833333333334
sentence-transformers/LaBSE,bosnian-rwwad,spanish,0.93,0.952748815336417
sentence-transformers/LaBSE,bosnian-rwwad,tagalog,0.911,0.9375447254238931
sentence-transformers/LaBSE,bosnian-rwwad,tajik,0.873,0.9066351440274557
sentence-transformers/LaBSE,bosnian-rwwad,tamil,0.928,0.9516841856307527
sentence-transformers/LaBSE,bosnian-rwwad,turkish,0.927,0.9506181658529151
sentence-transformers/LaBSE,bosnian-rwwad,urdu,0.924,0.948978230547533
sentence-transformers/LaBSE,bosnian-rwwad,uyghur,0.854,0.8920774201590363
sentence-transformers/LaBSE,bosnian-rwwad,uzbek,0.881,0.9126472233213
sentence-transformers/LaBSE,bosnian-rwwad,vietnamese,0.926,0.9490373680498133
sentence-transformers/LaBSE,bosnian-rwwad,yoruba,0.543,0.6414142789169116
sentence-transformers/LaBSE,chinese,albanian,0.939,0.9605153056741015
sentence-transformers/LaBSE,chinese,asante,0.087,0.14954310715843672
sentence-transformers/LaBSE,chinese,assamese,0.902,0.935341823579012
sentence-transformers/LaBSE,chinese,azeri,0.926,0.9498172688500254
sentence-transformers/LaBSE,chinese,bosnian-mihanovich,0.936,0.9570871990334178
sentence-transformers/LaBSE,chinese,bosnian-rwwad,0.93,0.9534871714119495
sentence-transformers/LaBSE,chinese,croatian,0.932,0.9542528645648571
sentence-transformers/LaBSE,chinese,dutch,0.928,0.9526188694037888
sentence-transformers/LaBSE,chinese,english,0.939,0.9622264934160908
sentence-transformers/LaBSE,chinese,french,0.89,0.9227670402223784
sentence-transformers/LaBSE,chinese,german,0.936,0.9545356224891948
sentence-transformers/LaBSE,chinese,gujarati,0.889,0.923774166631362
sentence-transformers/LaBSE,chinese,hausa,0.809,0.8571373269466116
sentence-transformers/LaBSE,chinese,indonesian,0.945,0.965724519894519
sentence-transformers/LaBSE,chinese,japanese,0.933,0.955931766468276
sentence-transformers/LaBSE,chinese,kannada,0.932,0.9563507837200805
sentence-transformers/LaBSE,chinese,khmer,0.924,0.9469796887269476
sentence-transformers/LaBSE,chinese,kurdish,0.078,0.13415143054175716
sentence-transformers/LaBSE,chinese,kyrgyz,0.885,0.9218480006243018
sentence-transformers/LaBSE,chinese,lingala,0.139,0.20289416990822276
sentence-transformers/LaBSE,chinese,lithuanian,0.895,0.9290419597426701
sentence-transformers/LaBSE,chinese,macedonian,0.921,0.9498815652150933
sentence-transformers/LaBSE,chinese,malayalam,0.93,0.9512682151343963
sentence-transformers/LaBSE,chinese,moore,0.069,0.12394045604024644
sentence-transformers/LaBSE,chinese,oromo,0.085,0.1545582933826325
sentence-transformers/LaBSE,chinese,pashto,0.826,0.8716280708443361
sentence-transformers/LaBSE,chinese,persian,0.922,0.9503233203109941
sentence-transformers/LaBSE,chinese,portuguese,0.935,0.9576431489098429
sentence-transformers/LaBSE,chinese,romanian,0.927,0.9511965121026651
sentence-transformers/LaBSE,chinese,serbian,0.929,0.9527324870865534
sentence-transformers/LaBSE,chinese,spanish,0.913,0.9394787990653255
sentence-transformers/LaBSE,chinese,tagalog,0.902,0.9349559213044235
sentence-transformers/LaBSE,chinese,tajik,0.843,0.886609100569482
sentence-transformers/LaBSE,chinese,tamil,0.928,0.9528343275742873
sentence-transformers/LaBSE,chinese,turkish,0.929,0.9536788018868028
sentence-transformers/LaBSE,chinese,urdu,0.919,0.9469713763593004
sentence-transformers/LaBSE,chinese,uyghur,0.885,0.9158865108216532
sentence-transformers/LaBSE,chinese,uzbek,0.887,0.9189228664268834
sentence-transformers/LaBSE,chinese,vietnamese,0.926,0.9525606646869382
sentence-transformers/LaBSE,chinese,yoruba,0.559,0.6498682714336781
sentence-transformers/LaBSE,croatian,albanian,0.958,0.9723723371617489
sentence-transformers/LaBSE,croatian,asante,0.098,0.15110928812755473
sentence-transformers/LaBSE,croatian,assamese,0.902,0.9334033864989977
sentence-transformers/LaBSE,croatian,azeri,0.945,0.9612323265994532
sentence-transformers/LaBSE,croatian,bosnian-mihanovich,0.99,0.99345
sentence-transformers/LaBSE,croatian,bosnian-rwwad,0.994,0.99595
sentence-transformers/LaBSE,croatian,chinese,0.91,0.9390252159941416
sentence-transformers/LaBSE,croatian,dutch,0.947,0.9650611659582248
sentence-transformers/LaBSE,croatian,english,0.961,0.9761928081178081
sentence-transformers/LaBSE,croatian,french,0.906,0.9349142635223096
sentence-transformers/LaBSE,croatian,german,0.951,0.9656426914409034
sentence-transformers/LaBSE,croatian,gujarati,0.91,0.9340590120806552
sentence-transformers/LaBSE,croatian,hausa,0.794,0.842754295949473
sentence-transformers/LaBSE,croatian,indonesian,0.949,0.9675719730532555
sentence-transformers/LaBSE,croatian,japanese,0.911,0.9379666936339691
sentence-transformers/LaBSE,croatian,kannada,0.931,0.9526776154191503
sentence-transformers/LaBSE,croatian,khmer,0.912,0.9355942433822327
sentence-transformers/LaBSE,croatian,kurdish,0.074,0.12775820770376864
sentence-transformers/LaBSE,croatian,kyrgyz,0.897,0.929908222776311
sentence-transformers/LaBSE,croatian,lingala,0.122,0.1916231831443926
sentence-transformers/LaBSE,croatian,lithuanian,0.927,0.9488043848445226
sentence-transformers/LaBSE,croatian,macedonian,0.978,0.9857463556505223
sentence-transformers/LaBSE,croatian,malayalam,0.928,0.9492728089608943
sentence-transformers/LaBSE,croatian,moore,0.058,0.10649659124945185
sentence-transformers/LaBSE,croatian,oromo,0.074,0.13652600722413308
sentence-transformers/LaBSE,croatian,pashto,0.824,0.8643279261247069
sentence-transformers/LaBSE,croatian,persian,0.93,0.9523477633092409
sentence-transformers/LaBSE,croatian,portuguese,0.942,0.9593001674424135
sentence-transformers/LaBSE,croatian,romanian,0.95,0.9653426530351111
sentence-transformers/LaBSE,croatian,serbian,0.989,0.99345
sentence-transformers/LaBSE,croatian,spanish,0.93,0.9530988798917447
sentence-transformers/LaBSE,croatian,tagalog,0.913,0.9384662392146192
sentence-transformers/LaBSE,croatian,tajik,0.873,0.9047563821601219
sentence-transformers/LaBSE,croatian,tamil,0.928,0.9509806627014719
sentence-transformers/LaBSE,croatian,turkish,0.922,0.9470323892079037
sentence-transformers/LaBSE,croatian,urdu,0.925,0.9488838285191897
sentence-transformers/LaBSE,croatian,uyghur,0.851,0.8894921724421758
sentence-transformers/LaBSE,croatian,uzbek,0.875,0.9080920208774305
sentence-transformers/LaBSE,croatian,vietnamese,0.925,0.9472533816744879
sentence-transformers/LaBSE,croatian,yoruba,0.532,0.6321349427754326
sentence-transformers/LaBSE,dutch,albanian,0.94,0.9601867203933336
sentence-transformers/LaBSE,dutch,asante,0.102,0.15470163508178533
sentence-transformers/LaBSE,dutch,assamese,0.879,0.9165121890480665
sentence-transformers/LaBSE,dutch,azeri,0.929,0.9493672768750112
sentence-transformers/LaBSE,dutch,bosnian-mihanovich,0.933,0.9524779910266024
sentence-transformers/LaBSE,dutch,bosnian-rwwad,0.93,0.9508591009833655
sentence-transformers/LaBSE,dutch,chinese,0.892,0.9233595619325832
sentence-transformers/LaBSE,dutch,croatian,0.931,0.9517705759161165
sentence-transformers/LaBSE,dutch,english,0.95,0.9677678325335302
sentence-transformers/LaBSE,dutch,french,0.896,0.9252002388186418
sentence-transformers/LaBSE,dutch,german,0.938,0.9543259734382711
sentence-transformers/LaBSE,dutch,gujarati,0.898,0.9257660595990167
sentence-transformers/LaBSE,dutch,hausa,0.799,0.8431955043152243
sentence-transformers/LaBSE,dutch,indonesian,0.947,0.9625490290601008
sentence-transformers/LaBSE,dutch,japanese,0.924,0.9440062086719878
sentence-transformers/LaBSE,dutch,kannada,0.93,0.9492232216082707
sentence-transformers/LaBSE,dutch,khmer,0.929,0.9490151676950285
sentence-transformers/LaBSE,dutch,kurdish,0.065,0.12085088183603028
sentence-transformers/LaBSE,dutch,kyrgyz,0.886,0.920008552118293
sentence-transformers/LaBSE,dutch,lingala,0.139,0.19916236285700137
sentence-transformers/LaBSE,dutch,lithuanian,0.956,0.9693782926376286
sentence-transformers/LaBSE,dutch,macedonian,0.924,0.9455860948477941
sentence-transformers/LaBSE,dutch,malayalam,0.931,0.9504136660968574
sentence-transformers/LaBSE,dutch,moore,0.055,0.09926905968730827
sentence-transformers/LaBSE,dutch,oromo,0.082,0.1377926114533631
sentence-transformers/LaBSE,dutch,pashto,0.813,0.8551123247291298
sentence-transformers/LaBSE,dutch,persian,0.94,0.955805105369589
sentence-transformers/LaBSE,dutch,portuguese,0.946,0.9633099086139972
sentence-transformers/LaBSE,dutch,romanian,0.948,0.9645030474045859
sentence-transformers/LaBSE,dutch,serbian,0.933,0.9510604297239529
sentence-transformers/LaBSE,dutch,spanish,0.938,0.9596478011714467
sentence-transformers/LaBSE,dutch,tagalog,0.911,0.9363543874733836
sentence-transformers/LaBSE,dutch,tajik,0.858,0.8953658047697475
sentence-transformers/LaBSE,dutch,tamil,0.939,0.9591456237168313
sentence-transformers/LaBSE,dutch,turkish,0.927,0.949943748191559
sentence-transformers/LaBSE,dutch,urdu,0.92,0.9423076477525223
sentence-transformers/LaBSE,dutch,uyghur,0.852,0.8882069707645288
sentence-transformers/LaBSE,dutch,uzbek,0.846,0.883078184206155
sentence-transformers/LaBSE,dutch,vietnamese,0.936,0.9549560642761726
sentence-transformers/LaBSE,dutch,yoruba,0.554,0.6385341666236308
sentence-transformers/LaBSE,english,albanian,0.965,0.9781702697667487
sentence-transformers/LaBSE,english,asante,0.128,0.20219440995495389
sentence-transformers/LaBSE,english,assamese,0.944,0.961469754475046
sentence-transformers/LaBSE,english,azeri,0.949,0.9685893614429328
sentence-transformers/LaBSE,english,bosnian-mihanovich,0.964,0.9769033940676182
sentence-transformers/LaBSE,english,bosnian-rwwad,0.96,0.9740666972162663
sentence-transformers/LaBSE,english,chinese,0.937,0.955493078434549
sentence-transformers/LaBSE,english,croatian,0.959,0.9735733232816567
sentence-transformers/LaBSE,english,dutch,0.962,0.9746010618743942
sentence-transformers/LaBSE,english,french,0.934,0.9541239859428042
sentence-transformers/LaBSE,english,german,0.964,0.9754791729680738
sentence-transformers/LaBSE,english,gujarati,0.929,0.9499398317890207
sentence-transformers/LaBSE,english,hausa,0.86,0.8926734169194033
sentence-transformers/LaBSE,english,indonesian,0.969,0.981180196886447
sentence-transformers/LaBSE,english,japanese,0.962,0.9744974775511644
sentence-transformers/LaBSE,english,kannada,0.957,0.971471875129288
sentence-transformers/LaBSE,english,khmer,0.946,0.961851944590842
sentence-transformers/LaBSE,english,kurdish,0.097,0.16068599008433013
sentence-transformers/LaBSE,english,kyrgyz,0.904,0.9365439585691584
sentence-transformers/LaBSE,english,lingala,0.167,0.24004880570024073
sentence-transformers/LaBSE,english,lithuanian,0.956,0.9723394756304076
sentence-transformers/LaBSE,english,macedonian,0.944,0.9632483405483406
